Time,Open,High,Low,Close,Volume
2023-10-17 00:00:00,28500.77,28522.68,28500.77,28515.91,50.70982
2023-10-17 00:01:00,28515.91,28515.92,28496.23,28496.23,23.65223
2023-10-17 00:02:00,28496.24,28507.3,28488.15,28507.29,26.6015
2023-10-17 00:03:00,28507.29,28528.52,28507.29,28528.52,25.37479
2023-10-17 00:04:00,28528.52,28541.5,28528.51,28540.52,39.02155
2023-10-17 00:05:00,28540.52,28542.53,28526.4,28540.33,44.33724
2023-10-17 00:06:00,28540.33,28549.34,28536.51,28537.42,51.05243
2023-10-17 00:07:00,28537.41,28537.42,28496.45,28496.46,52.63061
2023-10-17 00:08:00,28496.46,28496.46,28476.06,28480.3,37.74852
2023-10-17 00:09:00,28480.31,28488.63,28480.01,28480.02,27.35471
2023-10-17 00:10:00,28480.02,28488.36,28457.98,28488.36,45.69791
2023-10-17 00:11:00,28488.36,28500.0,28488.35,28499.99,27.49421
2023-10-17 00:12:00,28499.99,28500.0,28485.0,28494.1,40.98892
2023-10-17 00:13:00,28494.1,28494.11,28466.71,28466.71,16.58205
2023-10-17 00:14:00,28466.72,28466.72,28461.8,28461.81,13.44345
2023-10-17 00:15:00,28461.8,28464.4,28448.37,28458.54,37.22781
2023-10-17 00:16:00,28458.54,28459.97,28445.0,28445.01,32.09538
2023-10-17 00:17:00,28445.0,28452.27,28439.27,28452.27,34.57328
2023-10-17 00:18:00,28452.27,28452.27,28441.61,28441.61,25.18448
2023-10-17 00:19:00,28441.61,28445.07,28441.61,28445.07,11.3106
2023-10-17 00:20:00,28445.07,28457.75,28445.06,28453.33,17.48747
2023-10-17 00:21:00,28453.33,28459.54,28453.32,28457.06,14.66539
2023-10-17 00:22:00,28457.06,28466.0,28453.04,28461.83,18.00649
2023-10-17 00:23:00,28461.83,28461.83,28456.25,28456.26,18.34859
2023-10-17 00:24:00,28456.25,28456.26,28456.25,28456.25,6.90905
2023-10-17 00:25:00,28456.25,28456.26,28442.15,28449.45,14.80816
2023-10-17 00:26:00,28449.45,28449.45,28444.88,28449.45,9.14185
2023-10-17 00:27:00,28449.45,28449.45,28422.13,28422.13,22.24951
2023-10-17 00:28:00,28422.14,28422.14,28360.93,28367.6,218.44744
2023-10-17 00:29:00,28367.61,28367.61,28314.01,28344.02,248.96861
2023-10-17 00:30:00,28344.02,28348.96,28328.74,28334.93,48.64631
2023-10-17 00:31:00,28334.92,28380.99,28334.92,28379.44,59.43212
2023-10-17 00:32:00,28379.43,28379.44,28365.91,28368.99,27.90273
2023-10-17 00:33:00,28368.99,28386.01,28368.98,28385.47,27.35249
2023-10-17 00:34:00,28385.47,28399.99,28378.71,28391.96,28.55286
2023-10-17 00:35:00,28391.95,28414.35,28391.95,28414.35,25.69735
2023-10-17 00:36:00,28414.35,28414.35,28397.83,28397.84,25.73246
2023-10-17 00:37:00,28397.83,28405.63,28388.07,28405.63,20.13411
2023-10-17 00:38:00,28405.62,28407.94,28400.72,28405.68,27.41759
2023-10-17 00:39:00,28405.67,28405.68,28372.27,28372.27,26.19159
2023-10-17 00:40:00,28372.27,28373.98,28352.5,28359.99,39.86887
2023-10-17 00:41:00,28359.99,28370.81,28358.62,28370.8,14.59214
2023-10-17 00:42:00,28370.8,28373.51,28356.2,28356.2,14.66446
2023-10-17 00:43:00,28356.2,28356.21,28300.0,28320.49,201.33687
2023-10-17 00:44:00,28320.49,28330.0,28316.69,28329.99,32.76724
2023-10-17 00:45:00,28329.99,28338.39,28327.18,28332.63,61.08906
2023-10-17 00:46:00,28332.63,28360.0,28332.63,28359.14,24.42401
2023-10-17 00:47:00,28359.13,28359.14,28355.56,28357.26,11.25991
2023-10-17 00:48:00,28357.25,28361.96,28329.88,28329.89,22.30987
2023-10-17 00:49:00,28329.88,28355.0,28327.53,28354.99,36.94652
2023-10-17 00:50:00,28354.99,28359.2,28350.19,28350.2,15.23252
2023-10-17 00:51:00,28350.19,28350.2,28327.58,28327.59,25.35185
2023-10-17 00:52:00,28327.59,28327.59,28303.05,28303.06,39.40525
2023-10-17 00:53:00,28303.06,28304.28,28273.73,28294.85,77.88143
2023-10-17 00:54:00,28294.85,28299.74,28285.0,28285.0,19.65679
